,评论内容
8530,话 说 这款 手机 值得 入手 手感 超 爽滑 十块 防爆膜 吻合 六期 免息 单是 吸引 入手 原因 瑕疵 完美 假货 认 物品 虽好 入手 需谨慎 开心 好且 买且 珍惜 
8531,入手 8P 终于 退休 一周 说 说 感受 相 8p 系统 流畅 电池 耐用 金色 特别 好看 物流 12 号 下单 13 号 收到 查 序列号 京东 满意 说 玩 手机 
8532,不错 8p 活动 买 6s 大屏 确实 8p 手感 喜欢 京东 买 东西 放心 速度 
8533,官 网查 序列号 显示 ldquo 请 iphonerdquo 说实话 第一次 京东 买 东西 感觉 不错 鱼龙混杂 
8534,手机 一个多月 运行 特快 保电 玩游戏 剩 30% 正品 希望 京东 棒棒 哒 灰色 不错 lsquo 简单 大方 大爱 买 值 开心 
8535,京东 送货 速度 很快 手机 查     正品 黑色 64G 很漂亮 这是 第二个 手机 京东 购买 不错 手机电池 续航 能力     新手机 肯定 续航     待机   不错 网上 说 苹果 电池 道理 数据 检测 为准 手机 消耗品 更何况 电池 买 这么久 评论 想 果粉 验证 
8536,白色 很漂亮 颜值 高 平时 流畅 厉害 直观 这块 屏幕显示 效果 真棒 符合 小贵 
8537,配送 超快 京东 物流 真心 强 检查 外观 一切正常 手感 一级 棒 很漂亮 补充 感受 
8538,运行 速度 很快 手感 不错 苹果 6sp 苹果 xs 咋么样 说 xs 信号 差 有没有 大神 告知 
8539,老婆 两年 6s 终于 退休 8p 颜值 高 256g 双 11 活动 6738 入手 性价比 超高 老婆 喜欢 一段时间 补充 评价 
8540,手机 配送 速度 很快 拿到 激活 大半天 情况 客观 评论 感觉 A11 CPU 强大 速度 很快 情况 用过 一段时间 再来 追评 
8541,颜色 好看 喜欢 京东 物流 很快 售后服务 收到 手机 外层 塑料薄膜 去掉 试用 感觉 听筒 声音 太小 申请 售后 很快 电话 薄膜 去掉 声音 简单 快速 解决 京东 大赞 光线 原因 颜色 美拍 
8542,挺好用 物流 很快 第二天 拿到 手 琢磨 一上午     还好 手机 重颜值 不错 很快 手 
8543,手机 完好无损 瑕疵     特别 满意   运气 哈哈哈   运行 很快   好看   特别 喜欢   手 中 
8544,屏 6s 换到 55 寸 8p 视频 打游戏 舒服 一台 经典 外观 8p 再战 几年 续航 6s 强多 喜欢 6s 续航 真的 无语 hellip 8p 好评 
8545,全新 正品 朋友 官 换机 感觉 质量 差距 色调 触屏 水 深 软件 测 真假 立判 快递 小哥 不错 物流 
8546,电池 续航 特别 久 出去玩 玩 晚上 11 点 胜 四五十个 点 充电 速度 打游戏 特别 流畅 拍照 像素 不忙 特别 清晰 
8547,一个多月 性能 苹果 屏幕显示 真的 不错 感觉 周围环境 光来 改变 眼睛 看着 舒服 电池 算 耐用 玩游戏 一点 说 颜色 挺 喜欢 红色 耐看 
8548,第一次 京东 买手机 买 假 出乎 意料 没想到 翻新 机和 二十 机玩 顺畅 不错 手机 电 耐用 支持 京东 越做越 
8549,半天 我要 评价 机子 2019 年 月 生产 外观 划痕 摄像头 灰尘 颗粒 品相 完美 沙漏 验机 全新 机器 换 东西 百分百 原装 屏幕 东芝 不错 信号 满意 
8550,妈妈 一段时间 说 不错 拍照 清晰 操作 简单 几年 卡 满意 
8551,收到 货 手机 充电 地方 瑕疵 客服 换 一台 收到 货 激活 激活 日期 不错 送给 老婆 喜欢 
8552,手机 一段时间 前 苹果 手 感觉 舒服 04 毫米 厚度 差距 plu 较大 单手 不太好 操作 helliphellip 外观 喜欢 说 手机 性能 说 流畅 性能 强 
8553,手机 很快 运行 速度 赞 helliphellip 美中不足 太沉 hellip 6p 沉 好多 hellip 握 手里 打字 手 酸 hellip 总体 不错 hellip 略重 hellip 速度 内存 杠杠 
8554,用安卓 想 试试 苹果 买 苹果 手机 8p 值得 买 拍照 清晰 屏幕 分辨率 电池 长时间 希望 续航 能力 增强 
8555,久 评价 说 机器 懂 女生 电子产品 精通 机器 评价 拍 出货 京东 服务 到手 机器 伤 目前为止 机器 速度 电池 抗用 整体 满意 手机 买 可心 不错 行 吹毛求疵 非要 测试 测试 
8556,买回来 担心 质量 或者说 买 回到 手后 星期 发现 担心 根本就是 多余 手机 流畅 度 真的 说 质量 边框 无开 缝 京东 商城 东西 值得 信任 购买 
8557,买 iphone   x 8plus 之间 纠结 x 偏小 一点 更好 续航 8plus iphone     x 配置 价格便宜 售后 8p 双面 玻璃 好看 媳妇 开心 哈哈哈 满意 比安卓机 耐用 
8558,不错 jdi 屏幕 19 年 生产 买 大部分 jdi 屏幕 从安卓 转来 感觉 安卓 流畅 度 ios 感觉 ios 吹 神乎其神 超 流畅 买来 该关 养老 屏 技术 真的 成熟 喜欢 169 屏幕 看番剧 喜欢 视频 两条 大黑 QAQ 以路 身份 吃瓜 各大 手机 产商 大战 附上 几张 图 
8559,手机 挺 相比 很快 感觉 舒服 手机 屏幕 很大 东西 舒服 清晰 真的 特别 舒服 感觉 
8560,手机 发现 京东 客服 不错 解决 一部 手机 5s 服役 整整 三年 圆满完成 
8561,购物 体验 8P 性价比 高 续航 时间 7P 强 灵敏度 流畅性 提升 5G 手机 上市 
8562,整体 不错 速度 算是 够用 打游戏 整体 不错 
8563,屏幕 效果 艳丽 好看 颜色 逼真 外观 看着 薄 舒适感 双面 玻璃 故事 不错 苹果 刘 超度 好好 
8564,"手机 20 天 评价 总体 比较满意 运行 流畅 电池 耐用 6s 好多 
 手机 很漂亮 手感 比较满意 
 玻璃 后壳 沾 指纹 "
8565,样子 好看       金色 金色 好看           挺 流畅         满意 拍照 模式       出去玩 拍 影楼 效果           免息       想 买 
8566,第一次 京东 买手机 头 天下 第二天 包装 行 损坏 朋友 帮忙 开箱 验机 2019 年薪 生产 保修期 一年 8p 老公 喜欢 大小 正合适 手感 满意 先期 好评 用些 日子 追加 
8567,买 划算 包装 简单 特地 十来天 评价 显示 效果 屏幕显示 效果 清晰 运行 速度 运行 速度 很快 玩游戏 顺畅 拍照 效果 拍照 效果 好像 素好 拍 好看 电池 续航 反正 一冲查 新机 
8568,mate9 买 玩 两个 星期 照相 续航 头 苹果 手机 感觉 不错 
8569,发货 很快 银色 很漂亮 屏幕 很爽 到货 第二天 zh 画面 颜色 声音 运行 速度 很快 不卡顿 拍摄 照片 色彩 不错 听歌 戴上 耳机 音效 很棒 爱 银色 背壳 真的 好看 白色 朋友 喜欢 
8570,"用到 期待 质量 杠杠 双十 一拍 
 价钱 实惠 挺 好看 手机 性能 挺 外观 
 漂亮 爱好 手感 满意 手感 
 运行 速度 手感 速度 "
8571,头 天下 第二天 手到 苹果 很漂亮 用开 苹果 系统 流畅 度 安全性 安心 
8572,正品 机 段时间 官方 查 正品 操作 流畅 拍照 色彩 正 玩游戏 吃 鸡 王者 农药 完美 唯一 不太 满意 原装 充电器 充电 比较慢 玩游戏 稍微 费电 待机 3% 电 物流 拍 第二天 送到 
8573,做工 优秀 手感 棒 关键 内存 系统 特别 流畅 购买 价格 实惠 
8574,手机 真心 超赞 年货 节 入手 体验 游戏音乐 拍照 真的 很值 放心 购买 正品 保障 确实 不错 
8575,"强大 一款 苹果 8p 黄屏 调 电话 声音 大给力   震感 话 说 图 喜欢 刘海 xA11 仿生 芯片 强大   
 
 cqy772528496 "
8576,手机 月 16 号 买   一个月   感觉 棒   安卓 用户   沉迷 苹果 颜值 系统 无法自拔   打游戏 太棒了 担心 手机 不好   拿到 发现 担心 多余 哈哈哈 
8577,上午 10 点 下单 下午 1730 很快 买 手机 吃 鸡 流畅 拍照 清晰 18 年 12 月底 生产 买回来 自已 激活 正品 外观 很漂亮 满意 够物 
8578,速度 太快 晚上 第二天 早上 给我发 消息 楼下 快递 开心 炸 发表 京东 手机 外观 软件 手感 东西 熟悉 用个 两天 妥妥 第二次 京东 买 电器 电脑 京东 买 
8579,6sp 换 8p 样子 iTunes 手机 备份 导 媳妇 说 6sp 玻璃 屏 好看 京东 物流 一如既往 赞 早上 下单 下午 到货 
8580,打开 盒子 真的 惊艳 手机 新机   激活     拿到 手 激活 手机 流畅 下载 荒野 第一把 吃 鸡   大爱 
8581,第一次 苹果 感觉 媳妇 6S 手感 左上角 看着 间隙 稍微 大点 放大镜 
8582,手机   拿到 手机 贼 激动   本来 买 官 换机 翻新 机看 评论 吓死 拿到 查看 一点   续航 像素 还原 现实   处理器 强大 一点 不卡下 吃 鸡 玩 贼 爽 外观 完好无损 包装 样 一般般 第一次 苹果 体验 
8583,"显示 效果   像素 
   运行 速度   运行 内存 
   拍照 效果   自拍照 美美 
   电池 续航   电池 耐用 
     宝贝 好用 两天 评价 物流 "
8584,期待已久 苹果机 本来 买 新机 满意 选择 8puls 挺好用 第一把 游戏 吃 鸡 游戏 手机 京东 小哥 力 
8585,手机 上午 买 下午 很快 手机 降价 买 性能 不错 起码 体验 感 流畅 京东 官网 买 正品 黑色 超酷 适合 男生 8plus 做工 精致 玻璃 材质 无论是 摸 舒服 多字 可不可以 优秀 评论 
8586,手机 不错 想 买 黑色 断货 只能 买 银色   白色 不错 好看   查   正品     第一次 ios 系统 不太 
8587,很快 数码 品就数 京东 最快 手机 全新 未 开封 外观 完美 屏幕显示 到手 开机 88% 电量 生产日期 1899 上个月 苹果 主板 更换 时间 之外 真香 开机 测试 功能 买 正品 京东 自营 
8588,快递 速度 力 当天 收到 是从 换 8p 手感 不错 挺重 感觉 流畅 过段时间 追加 
8589,特意 几天 评价 优点 金色 颜值 妥妥 吸引 眼球 运行 速度 超快 A11 芯片 力 相机 效果 很棒 电量 电池容量 值得 信赖 重度 一充 不失 总体 挺 满意 
8590,评价 买 问 同事 说 京东 电子产品 买 下单 手机 手机 图片 副 手机 买回来 同事 说 样子 很漂亮 喜欢 
8591,说 物流 特别 特别 当天 早上 买 下午 收到 说 物流 严谨 快递 会发 验证码 贵重 用品 这样一来 拿错 做法 拿到 手机 迫不及待 试 包装 损坏 送 原装 耳机 充电器 版型 好看 拍照 特别 手机 到手 全新 未 拆封 查 序列号 全新 手机 昨天 拍 速度 超级 价格 实惠 推荐 购买 物流 快递 员 负责 手机 整体 感觉 很漂亮 系统 操作 流畅 手机 整体 手感 性价比 高到   iPhone     一代 玻璃 背板 iPhone   背部 终于 完璧 无瑕 人略感 意外 iPhone     双机 背部 苹果   logo     iPhone   标识 图案 文字 这样一来 整机 显得 简约 说 照相 像素 亮点 照相 iPhone     Plus 采用 后置 双 1200 万 像素 摄像头 模式 拍摄 中 新增 ldquo 人像 光线 功能 rdquo 用户 控制 光线 改变 成像 效果 真的 炒 鸡 满意 
8592,iPhone 吹 开 后台 卡顿 现象 屏幕 清晰度 高 触感 一流 网速 网络 不好 网速 音质 不用说 清澈 温柔 系统 运行 速度 久 依然 流畅 
8593,运行 平稳 系统 运行 速度 很快 尺寸 金属 质感 符合 人机工程 学 长时间 运行 发热 现象 充电 速度 很快 待机时间 很长 连贯 通话 小时候 待机 48 小时 价格 赶上 双十 合适 
8594,第一次 苹果 手机 这款 8p256 玩起来 很爽 外表 高大 多功能 很棒 双十 京东 大幅 优惠 措施 动心 下手 早买 早 享受 早买 优惠 谢谢 京东 
8595,"手机 外形 瑕疵 美感 两天 电池 耐用 运行 流畅 玩游戏 音质 低音 回响 效果 很棒 出色 接受 事情 手机信号 特别 不好 稳定 两格 信号 很难 满格 信号 情况 优点 拍照 效果 特别   运行 流畅   性能   外观 漂亮   相机 像素 高   手感 舒适 nbsp 
 缺点 续航 三星 63 寸   苹果 55 寸   果粉 大屏   耳机 插孔   听 音乐 充电 兼得 nbsp "
8596,想换 手机 纠结 忍住 查看 手机 挺 查 序列号 正品 手感 满意 苹果 手机 国产 好用 一点点 满意 
8597,手机 系统 运行 流畅 不卡顿 屏幕 分辨率 高 长时间 电池 发热 现象 待机时间 不错 手机 外壳 工艺 质感 手机 大小 刚刚 合适 符合 人机工程 完美 体验 
8598,收到 一段时间 好几年 苹果 粉 helliphellip helliphelliphellip 京东 谱 京东 买 实体店 便宜 helliphellip 送货上门 退换货 上门 取件 服务 超级 helliphellip 手机 好用 包装 特别 老公 舍不得 买买 回来 一段时间 真 家里 东西 京东 买 谱 服务 送货上门 价格 透明 
8599,第一次 苹果 手机 感觉 特别 棒 不卡 流畅 相机 不错 红色 特别 款 618 活动 618 恢复 原价 
8600,拿到 货 仔仔细细 里里外外 一遍 瑕疵 激活 试 声音 电流 声音     喜欢 苹果 系统 不卡顿 满意 
8601,正品 流畅 快递 速度 显示 很棒 无色差   运行 速度   滑行 速度 敏捷   拍照 效果 清晰   电池 续航   开机 充满 一半 电 电池 耐用 玻璃 屏 照相 拿到 手上 好看 手感 不错 性价比 高   运行   小巧 精致   拍照 摄影 清晰   不卡   心情   手感 很棒   值得 入手   价格 实惠 苹果 失望 京东 值得 信赖 放心 购买 
8602,"苹果 新 处理器 A11 运行 速度 满意 手机 运行 流畅 
 背面 采用 玻璃 材质 高大 尚 握持 手感 
   缺点 创新 iPhone   6s 多大 区别 电池容量 太 少 玻璃 材质 易碎 "
8603,特别 喜欢 大爱 手感 特别 大小 尺寸 合适 像素 高清 太漂亮 
8604,手机 收到 一眼 感觉 好机 京东 自营 店直 信任 包装 原封不动 上午 下单 下午 自营 店 京东 自营 店 选购 下次 京东 自营 店用 一段时间 追评 
8605,本来 22 号 晚上 点 抢 说 30 号 发货 想 退 犹犹豫豫 晚上 没想到 第二天 下午 草 速度 想想 留着 机子 颜值 高 外观 毛病 跑 分 203133 贴 用户 感觉 买 配件 希望 京东 带来 更好 购物 体验 买 电器 京东 放心 希望 iPhone8plus 我带 来发发 发 好运气 祝 发财 京东 做 更好 
8606,效果 特别 运行 流畅 玻璃 后壳 手感 颜色 显得 浅 看着 挺 新颖 大小 正合适 单手操作 压力 屏幕 效果 飞快 真不错 
8607,"说一说 买 iPhone 
 久用 不卡 三年 压力 需 更换 电池 
 不落 时 13 年 iPhone5s 王者 荣耀 更新 ios12 反观 机海 战术 厂商 
 封闭系统 提高 安全性 支付 普及 问 后台 病毒 不法分子 能耐 苹果 
 流畅 apple 最新 处理器 相比 同期 安卓 旗舰 处理器 差距 iOS 安卓 流畅 差距 
 做工 精致 标配 防水 6s 标配 3dtouch 手机 久 划痕 
 
 说 是从 整体 看非 举出 特例 喷 请 住嘴 支持 安卓 快快 离开 页面 "
8608,"终于 狠下 心 换掉 多年 ip6 备受 冷遇 反正 受不了 X 刘海 分 分钟 逼死 强迫症 hhhhh 
 说 说 ip8 舒服 运行 速度 很快 很快 电量 苹果 懂 hhhhh 
 256G 内存 真心 爽 疯狂 软件 hhhhh "
8609,快递 速度 不用 说 手机 新 机子 毛病 手机 很棒 流畅 手机 苹果 手机 不错 这时候 价格 算 合适 体验 很棒 
8610,比较忙 一段时间 评价 第一次 苹果 手机 第一次 京东 购买 手机 说实话 挺 担心 京东 下单 收到 包装 完好 打开 检查 外观 挺 颜色 喜欢 激活 店里 贴 膜 买 炒鸡 喜欢 手机 壳 粉嫩 少女 心 不错 暂时 序列号 查 始终 没查 激活 日期 
8611,买 两台 一台 白色 一台 金色 不错 手感 买 X 遗憾 
8612,"昨天晚上 单子   早上 收到   快递 师傅 力 说 当面 师傅 自信 说   京东   值得 信赖 
 
 直降 1000 元 有灰卷   好像 价格 相当于 85 折 
 官网 查询 保修期 一件 激活   保修 顺延 一年 截图 "
8613,全新 未 拆封 手机 外观 发现 品质 异常 顺利 购物 买 华为 破 20   pro 放弃 苹果 系统 魅力 毛病 放心 买 
8614,手机 摔坏 屏 咬咬牙 换个 苹果 降价 选 8plus 几家 电商 价格 京东 实在 送货 时间 速度 果断 下手 凌晨 点 拍 第二天 下午 收到 太 神速 新机 好用 手感 屏幕 大看 视频 很爽 满意 一百分 
8615,iPhone   8plus   颜值 担当   搭配 iOS   完美   性能 得用   喜欢 款 手机   京东 点个 赞   送货 速度 飞 感觉   
8616,特意 几天 评价 优点 深灰色 颜值 妥妥 吸引 眼球 运行 速度 超快 A12 芯片 名不虚传 相机 效果 很棒 电量 重度 一充 不失 总体 挺 满意 
8617,终于 超 喜欢 颜色 好看 杏色 米 黄 感觉 玻璃 亮 手感 
8618,记不得 京东 买 苹果 手机 这台 8p 京东 买 第二台 去年 买 max 买过 系列 手机 特意 买 白色 买 4s 黑色 包括 max 黑色 8p 黑色 想 白色 好看 细腻 个人感觉 xr 处理器 xr 比不上 8p A11 仿生 芯片 带动 软件 市场 压力 剩余 helliphellip 想 体验 iPhone 超 8p 经济 跟得上 想 体验 高端 刘海 系列 买 max 更好 
8619,乘着 降价 入手 iPhone   8p 玫瑰 金 颜色 xs 好看 配 透明 壳 超美 超赞 
8620,挺 东西 特别 好配 特别 好看 手机 壳 完美 喜欢 粉粉 仙儿 颜色 选择 手机 太美 长辈 入手 金色 黑色 愉快 购物 经历 买 手机 屏幕 亮点 幸好 激活 换货 
8621,隔天   预计 早   快递 员 态度   点赞   特地 几天   二手 i7   不好   真 适合 买 二手   这台 很棒   一点 后悔   发烫   电池   激活 时间   升级   激活 时 版本   目前为止 不错   希望 掉价 太快   心脏 受不了   i8 值得 入手   没传 不堪   64 够用   照片 网盘   省内 无线 流量   歌曲 不用 存   多用 40G   去年 抽 618 优惠券     买 台 电脑   抽上   哈哈哈   没关系   手机 好用   夜晚 拍摄   光线 不好   技术 渣   红色 好看   女生 合适 
8622,京东 自营 物流 速度 嗖嗖 机子 7p 长得 手机 壳 通用 苹果公司 新创意 手机 发现 后续 追评 
8623,京东 买 第三个 苹果 手机 信赖 京东 品质 超快 京东 配送 特地 评价 总体 感觉 满意 手机 外观 查 序列号 保修 日期 正品 手机 运行 流畅 屏幕 够 视频 很爽 唯一 缺点 无线 充电器 赠品 
8624,    第一次 苹果 手机     不太会       功能     数据 流量 设置         机     红色 美 
8625,11 月 10 号 零点 抢购 双 11 当天 毛病 京东 自营 力量 6688 价格 满意 体验 一个多 星期 毛病 一如既往 系统 流畅 强大   本来 想 买个 X 等不及 喜欢 home 键 苹果 选择 8P 满意 购物 体验 购物 还会 评价 
8626,老公 买   不错   喜欢   欢喜   打开 时 屏幕 特别 指纹   算了   太 在意   试 序列 码   京东   朋友 放心     先 一段时间   屏幕 够   确实 xm 屏幕 宽 一点   手感 不错   一代 home 键   手机 速度 不错   玩游戏   不错   以观后效 
8627,京东 一如既往 厉害 支持   刚刚 拿到 网上 说   缝隙     感觉 缝隙 果断 激活   体验 不错 手机 大屏幕     比小 屏幕   舒服 玩游戏   看电视     感觉 舒适 买 套子   摔 
8628,显示 效果   好比 6s 大气   运行 速度   很快 玩游戏 一点 不卡   拍照 效果   喜欢 拍照   电池 续航   一充     性价比 高 
8629,"外观 漂亮 漂亮 苹果 实体 按键 漂亮 一款 
 性能 运行 流畅 
 送给 老婆 喜欢 按钮 这款 喜欢 "
8630,运行 速度 没话说 屏幕 清晰度 高 喜欢 用惯 安卓 系统 拍照 清晰 发 几张 图是 朋友 帮 拍 机子 拍 肯定 更好 特别 满意 电池电量 希望 给力 
8631,设置 手机 中 看着 不错 送 礼物 不错 咯 熟悉 
8632,AppleiPhone8A186364GB 金色 新机 破损 缺陷 外观 满分 挺 沉 官 网查 手机 流畅 相机 播放器 软件 用起 流畅 棒 心情舒畅 第二天 官网 公众 号查 正品 棒 
8633,618 当天 买 平时 便宜 200 红色 颜色 很正 喜欢 大小 合适 屏幕 清晰度 挺高 关键 系统 很快 一点 不卡 拍照 效果 不错 64G 够不够 用用 两天 希望 后续 流畅 
8634,手机 真 不赖       真     看着 舒服       棒       能振动     幅度 
8635,杠杠 正品 便宜 手感 柔和 不错 不错 物流 力 棒棒 哒 愉快 购物 年三十 到手 手机 壳 买 快递 发货 京东 加油 
8636,手机 很漂亮   手里 握感   苹果 系统 流畅   确实 惊艳     京东 快递 小哥 赞   超级   不错 不错 
8637,特意 几天 评论 早上 充好 电上 班 回来 十一点 剩 48   没用 苹果 手机 国产机 挺不错     用过 苹果 手机 无法自拔 系统 超给力 手机 做工 超 精细 6plus   玫瑰 金后 盖 时间 久 掉 漆   这部 8plus   双面 玻璃 屏 设计 满意 十五号 凌晨 下单 当天 下午 送到 手 物流 力 
8638,黑色     说 很帅     双十 一买     性价比 高   第一次 苹果 手机 没买 太   先买 皮 练练手 从安卓 转到 ios   习惯 几天   苹果 手机 系统 流畅 不卡太丝 滑     评论 折磨 毛病 犹豫     硬着头皮 买 京东 快递 太给力 真快     拿到 手里 第一部 查 激活     拆 包装 外观   完好无损   瑕疵   一步 激活     一段时间 感觉   京东 自营 
8639,物流 速度 上午 10 点 下单 下午 点钟 快递 外包装 完好无损 手机 外观 痕迹 磨损 磕碰 插卡 激活 拿到 手机店 验机 机子 国行 公开 版 第一次 激活 第一次 充电 生厂 日期 2019113 出厂 11 天 新机 小时 愉快 购物 体验 
8640,上午 买 下午 神速 快递 点赞 想 买 红色 无货 买 金色 很漂亮 6p 对系统 熟悉 手动 安装 顺利 容量 安装 app 太 6p 电池 怕冷 款 明年 冬天 验证 
8641,12 号 傍晚 下单 13 号 上午 货物 流 速度 很快 开箱 验机 外观 完好 激活 顺利 登陆 ID 时有 一点 卡 总体 满意 惊喜 
8642,想 入手 苹果 手机 很久 第一次 苹果 系统 真心 安卓 系统 还好 前段时间 忍住 剁 手 真值 下降 700 800 块 大洋 4799 元 毫不犹豫 下单 到手 拆 包验 机国行 正品 满意 满意 满意 春节 老婆 换 一台 
8643,屏幕 通透 色彩 鲜艳 外观设计 新潮 摸 手感 硌 手 特别 喜欢 手机 操作系统 质量 手感 摸 舒服 做工 用料 扎实 绝佳 商品 超级 好用 宝贝 
8644,降价 一千多 激动 体验 好玩 游戏 流畅 不卡顿 IOS 系统 特别 很棒 
8645,昨天 犹豫 久 终于 下单 一大早 快递 员 师傅 顶 凛冽 寒风 手机 送到 手上 打开 手机 发现 手机 无缝 链接 一种 惊喜 一种 熟悉 整体 感觉 新 手机 棒 手感 舒适 希望 过程 中 更好 
8646,京东 买 手机 一如既往 京东 买 十几 二十几 部手机 令 失望 这部 苹果 第一部 苹果 从安卓换 苹果 原因 有二一 想 试试 苹果 游戏 体验 比安卓好 尝尝鲜 把玩 感觉 重力 按压 功能 游戏 里 我用 一部 手机 2K 屏 感觉 屏幕 轻微 颗粒感 操作 流畅 度 比安卓好 
8647,新手机 性能 外观 漂亮 屏幕 打游戏 很爽 买 内存 不用 考 照片 
8648,一个多月 评价 买 老公 换 8P 看着 双摄 屏幕 习惯 颜值 貌美 系统 运行 流畅 拍照 效果 电池容量 轻度 50% 毛病 满意 京东 白条 期 免息 划算 送货 准时 满意 信任 京东 
8649,  担心   次日   8p 6sp 系统 流畅   声音   体验 一夜   不好     比心   谢谢 京东 小哥   送 速度 
8650,买回来 下载 东西 比较慢   手机 事   跑 体验 店本 想 店员 情况   下载   说 房间 网络 不行   我晕     算 挺不错   好评 
8651,说 几点 心得 开封 试用 天 手感 不错 品质 没套 壳 贴膜 确实 舒服 官网 查询 质保 期 正品 4CPU 版本 高通 版本 貌似 信号 想象 intel 芯片 信号 差得多 可怕 买 一份 京东 碎屏 购物 心得 补充 谢谢 
8652,不错 手机 6p 屏幕 颜色 好看 续航 长 触屏 顺手 特别 home 键 舒服 
8653,开机 感觉 大黄 屏 激活 好多 运行 速度 很快 颜值 高 
8654,外观 漂亮   手感 不错   运行 速度 很快   选 颜色 纠结 久   金色 6s 选 灰色 很漂亮 
8655,平常 玩游戏 电池电量 一整天 手机 不错 苹果 满意 白色 买 一款 红色 喜欢 京东 买手机 买 电脑 物流 很快 前一天 晚上 下单 第二天 上午 十点 
8656,手机 第一次 苹果 开心 物流 很快 半天 送到 手机 一点 不卡 评论 区 绿线 真心 不错 
8657,久   评论   终于 下单   到手 满意   运行 速度 很快   选 银色   好看   这是 第一款 苹果 手机   顺手   手小   没觉 太大   一个月   
8658,用刚 收到 喜欢 颜色 图片 漂亮 喜欢 追评 全新 裸机 赤裸裸 物流 快递 满意 送货上门 快递 到位 
8659,111 活动 买 一段时间 评论 手机 正品 新机 系统 运营 流畅 玩游戏 两天 第四次 京东 自营 买 手机 后续 段时间 
8660,苹果 8plus 质量 不错 查 序列号 正品 无疑 手感 反应速度 卡顿 现象 电池 充电 速度 希望 用久 一点 整体 感觉 不错 京东 物流 
8661,本来 想 买 红色 款 看重 黑色 款有 优惠 好看 配上 uag 手机 壳 完美 刚贴 邦克 仕 贴膜 完美 气泡 喜欢 系列 无限 充电 A11 强悍 处理器 想 买 x 太贵 还怕 烧屏 手机 查看 序列号 电池 保修 信息 正品 无误 五星 好评 helliphellip 
8662,国行 未激活   价格 真的 超值   建议 入手   银色 超级 喜欢 女孩子 沉   晚上 玩 手机 相比 单手 挺 累   纠结 xr 8p   实体店 试 两个 手感   新旧 概念   喜欢 屏   受不了 刘海 屏   选择 8p   喜欢 home 键 震动 反馈   爱 
8663,早上 八点 抢   很着急   舒服   没用过 ios   x 预算   没用过 iphone   感觉 确实 不错   andriod 
8664,安卓机 刚用 不太 习惯 操作 无卡顿 正品 行货 
8665,手机 京东 真的 京东 自营 买 东西 京东 自营 行 没错 手机 说 64 级 够用 流畅 查 序列号 18 年 月 出厂 两天 感觉 图 好评 全 五星 京东 自营 牛 逼 
8666,这款 iPhone 不错 表现 不像 iPhone   X 采用 双层 主板 8plus 散热 性能 好于 iPhone   X 这款 手机 印象 
8667,支持 iphone 信赖 手机 系统 强大 由始 第二部 iphone 5s 升级 8p 购买 iphone 原因 大爱 系统 外观 不用说 肯定 毛病 干 完 
8668,整体 不错 样子 很漂亮 苹果 x 喜欢 8p 流畅 查 序列号 正品 未激活 手机 手感 
8669,很长 一段时间 评价 手机 无线 充电 插 过线 买回来 查验 激活 时间 正品 行货 优惠 不错 买 开心 还用 白条 六期 免息 
8670,手机 好官 网查 全新 机 想 买 银色 黑色 熄屏 更好 第一次 ios 玻璃 后盖 脆弱 买个 手机 壳 
8671,昨天晚上 拍 今天下午 五点 收到 激活 成功 显示 新手机 第一次 苹果 hellip 儿子 抢 王者 荣耀 说 流畅 一点 不卡 后续 期待 体验 更好 hellip 
8672,一个月 用查 序列号 开封 时间 京东 值得 8p 通病 发烫 玻璃 后盖 手感 舒服 红色 好看 金色 红色 之间 纠结 选 红色 256g 内存 经用 总得来说 满意 
8673,帮 姐姐 喜欢 面容 ID 选个 指纹 红色 特别 靓 跑 分 高速度 很快 系统 运行 特别 流畅 不错 
8674,关注 手机 很久   买 内存   感 超级 棒   很快 很快 很快   深空 灰 真的 超级 好看   高级 感   像素   音质 good   喜欢 朋友 买   舒服   买过   太小 
8675,显示 效果   屏幕   运行 速度   6p 很卡换 感觉 太 流畅   拍照 效果   效果 不错 人像 摄影 模式   电池 续航   玩 几把 游戏 晚上 到家 30% 多电     手机 满意 
8676,最强 续航 iphone   双摄 不错   内存   满意   用惯 ios 懒得 折腾   一键 备份 一键 还原   无缝 对接 新旧 手机   便捷 度 拒绝   特别 喜欢 刘海 屏 
8677,月 29 号 买 半个 月 评论 手机 第二天 刚到 官 网查 正品 行货 全新 未激活 反正 灰色 好看 8p 拍照 厉害 真的 喜欢 发现 京东 物流 给力 大大的 赞 买 东西 京东 自营 值得 信赖 
8678,操作系统 新颖 市面上 手机 像是 淘汰 机器 手机 第二条 手机 质感 用料 真的 看得出 苹果 选 材料 第三条 系统 运行 速度 很快 其他人 智能手机 缓慢 情况 第四条 屏幕 显示 值 特别 效果 一流 图片 电影 玩游戏 表现 第五条 主题 漂亮 图标 更改 比较简单 电池 续航 能力 不错 图 不错 
8679,新机 破损 缺陷 外观 满分 挺 沉 官 网查 手机 流畅 相机 播放器 软件 用起 流畅 棒 心情舒畅 第二天 官网 公众 号查 正品 棒 
8680,坚固耐用 精密 工艺 令 机身 无惧 水溅 灰尘 侵袭 视网膜 高清 显示屏 采用 原彩 显示 技术 双 镜头 摄像头 具备 光学图像 防抖 功能 系统 灵敏 丝 顺滑 
